"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_417",40,256,0,"F",24,"SA","Urban","Tablet_iOS","Browser","Monthly",36,"12:00 PM - 6:00 PM",5,3,3,"eWallet","N",0,0
"CXAUQ_211",40,177,151,"M",20,"NSW","Urban","Tablet_iOS","Browser","Daily",15,"12:00 PM - 6:00 PM",4,3,3,"eWallet","N",0,0
"CXAUQ_1354",1050,250,189,"F",47,"NSW","Urban","Tablet_Android","App","Daily",47,"6:00 PM - 12:00 AM",10,5,4,"eWallet","Y",27,8
"CXAUQ_625",40,181,181,"M",22,"QLD","Urban","Tablet_Android","Browser","Monthly",17,"12:00 PM - 6:00 PM",3,2,3,"eWallet","N",0,0
"CXAUQ_196",1000,227,459,"F",53,"VIC","Rural","Tablet_Android","App","Weekly",55,"12:00 PM - 6:00 PM",13,5,4,"BNPL","Y",7,0
"CXAUQ_41",450,278,0,"F",46,"NSW","Urban","Phone_iOS","Browser","Monthly",59,"12:00 PM - 6:00 PM",5,2,4,"Card","N",0,0
"CXAUQ_1048",1750,160,268,"F",58,"NSW","Urban","Phone_Android","App","Monthly",29,"12:00 AM - 6:00 AM",12,5,4,"BNPL","Y",18,0
"CXAUQ_2142",40,247,370,"M",42,"QLD","Urban","Phone_iOS","Browser","Weekly",22,"6:00 AM - 12:00 PM",6,2,1,"BNPL","N",0,0
"CXAUQ_756",40,118,334,"F",37,"QLD","Urban","Phone_Android","App","Weekly",55,"12:00 PM - 6:00 PM",1,4,3,"eWallet","Y",16,0
"CXAUQ_1982",1100,61,336,"M",56,"NSW","Urban","Tablet_Android","Browser","Daily",2,"6:00 AM - 12:00 PM",13,5,4,"BNPL","N",0,0
"CXAUQ_673",700,87,394,"M",36,"NSW","Rural","Phone_iOS","Browser","Daily",34,"12:00 PM - 6:00 PM",4,2,4,"Card","N",0,0
"CXAUQ_2413",750,169,497,"M",45,"VIC","Urban","Tablet_Android","Browser","Monthly",38,"6:00 AM - 12:00 PM",4,3,4,"BNPL","N",0,0
"CXAUQ_1940",40,235,136,"M",21,"VIC","Urban","Phone_iOS","App","Daily",37,"6:00 AM - 12:00 PM",2,3,3,"eWallet","Y",6,0
"CXAUQ_1203",550,164,419,"F",31,"NSW","Rural","Phone_Android","Browser","Daily",47,"12:00 AM - 6:00 AM",6,2,4,"BNPL","N",0,0
"CXAUQ_1481",1250,92,265,"F",58,"NSW","Urban","Phone_Android","Browser","Daily",48,"6:00 PM - 12:00 AM",5,5,4,"BNPL","N",0,0
"CXAUQ_2690",650,78,425,"M",31,"NSW","Rural","Tablet_Android","Browser","Daily",51,"6:00 PM - 12:00 AM",3,1,4,"BNPL","N",0,0
"CXAUQ_2815",550,86,455,"M",30,"TAS","Urban","Phone_iOS","App","Weekly",46,"6:00 PM - 12:00 AM",6,1,4,"BNPL","Y",7,0
"CXAUQ_2459",650,219,288,"F",52,"VIC","Rural","Tablet_Android","App","Monthly",36,"6:00 PM - 12:00 AM",4,4,4,"BNPL","Y",19,0
"CXAUQ_968",1350,164,0,"F",52,"SA","Urban","Phone_Android","App","Monthly",20,"12:00 AM - 6:00 AM",8,4,4,"Card","Y",13,0
"CXAUQ_1108",40,50,211,"F",29,"NSW","Urban","Phone_iOS","App","Daily",23,"12:00 AM - 6:00 AM",4,2,2,"BNPL","Y",21,0
